City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Krasnoselkup,RU,2021-12-19 15:22:47,65.7,82.4667,-41.21,98,27,4.25,scattered clouds
1,Ipixuna,BR,2021-12-19 15:22:47,-1.7625,-48.8043,87.75,86,100,3.94,light rain
2,Cape Town,ZA,2021-12-19 15:22:48,-33.9258,18.4232,82.11,60,0,5.01,clear sky
3,Norman Wells,CA,2021-12-19 15:22:48,65.282,-126.8329,-0.36,85,90,2.3,light snow
4,Verkh-Chebula,RU,2021-12-19 15:22:49,56.0308,87.6218,-11.09,100,96,3.51,overcast clouds
5,Paidha,UG,2021-12-19 15:22:49,2.4167,30.9855,73.47,55,92,3.56,overcast clouds
6,Chokurdakh,RU,2021-12-19 15:22:50,70.6333,147.9167,-23.01,99,100,5.91,light snow
7,Vaini,TO,2021-12-19 15:22:50,-21.2,-175.2,78.96,94,20,6.91,few clouds
8,Barrow,US,2021-12-19 15:22:51,71.2906,-156.7887,-9.38,70,1,16.11,clear sky
9,Progress,US,2021-12-19 15:22:51,40.2851,-76.8314,39.24,65,90,8.01,overcast clouds
10,Muisne,EC,2021-12-19 15:22:52,0.6,-80.0333,77.11,90,100,9.51,overcast clouds
11,Tres Palos,MX,2021-12-19 15:21:18,18.1833,-101.6167,70.41,56,96,1.61,overcast clouds
12,Port Augusta,AU,2021-12-19 15:22:52,-32.5,137.7667,62.74,56,71,14.38,broken clouds
13,Butaritari,KI,2021-12-19 15:22:53,3.0707,172.7902,80.92,81,96,15.37,light rain
14,Punta Arenas,CL,2021-12-19 15:21:08,-53.15,-70.9167,51.91,32,40,36.82,scattered clouds
15,Yellowknife,CA,2021-12-19 15:21:46,62.456,-114.3525,-17.59,82,75,5.75,broken clouds
16,Comodoro Rivadavia,AR,2021-12-19 15:19:49,-45.8667,-67.5,75.06,35,20,16.11,few clouds
17,Sorong,ID,2021-12-19 15:22:54,-0.8833,131.25,82.54,79,100,9.6,overcast clouds
18,Puerto Ayora,EC,2021-12-19 15:22:55,-0.7393,-90.3518,75.16,85,96,5.41,overcast clouds
19,Rikitea,PF,2021-12-19 15:22:55,-23.1203,-134.9692,76.64,74,100,9.19,light rain
20,Iqaluit,CA,2021-12-19 15:22:56,63.7506,-68.5145,10.13,72,75,3.44,light snow
21,Busselton,AU,2021-12-19 15:22:56,-33.65,115.3333,59.09,86,0,8.05,clear sky
22,Katsuura,JP,2021-12-19 15:22:57,35.1333,140.3,42.91,62,0,9.84,clear sky
23,Mataura,NZ,2021-12-19 15:22:58,-46.1927,168.8643,68.49,58,37,7.0,scattered clouds
24,Lebu,CL,2021-12-19 15:22:59,-37.6167,-73.65,62.56,75,54,16.89,broken clouds
25,Fallon,US,2021-12-19 15:23:00,39.4735,-118.7774,24.67,86,90,4.61,mist
26,Clyde River,CA,2021-12-19 15:23:01,70.4692,-68.5914,10.63,92,100,0.0,snow
27,Aksarayskiy,RU,2021-12-19 15:23:01,46.7924,48.0119,35.55,61,98,8.88,overcast clouds
28,Hasaki,JP,2021-12-19 15:23:02,35.7333,140.8333,28.8,42,4,9.57,clear sky
29,Half Moon Bay,US,2021-12-19 15:23:04,37.4636,-122.4286,46.09,93,90,0.0,fog
30,Jiuquan,CN,2021-12-19 15:23:04,39.7432,98.5174,26.24,21,1,2.62,clear sky
31,Avarua,CK,2021-12-19 15:23:05,-21.2078,-159.775,77.05,78,75,4.61,broken clouds
32,Vostok,RU,2021-12-19 15:23:06,46.4856,135.8833,-10.05,98,88,4.94,overcast clouds
33,Pinczow,PL,2021-12-19 15:23:07,50.5205,20.5265,41.61,94,100,17.54,light rain
34,Havoysund,NO,2021-12-19 15:23:08,70.9963,24.6622,23.88,81,99,8.55,light snow
35,Necochea,AR,2021-12-19 15:23:09,-38.5473,-58.7368,81.03,32,9,8.23,clear sky
36,Taksimo,RU,2021-12-19 15:23:09,56.3444,114.8794,-10.98,85,100,5.37,overcast clouds
37,Adrar,MR,2021-12-19 15:23:10,20.5022,-10.0711,76.26,27,100,13.96,overcast clouds
38,Ekhinos,GR,2021-12-19 15:23:10,41.2833,24.9667,41.38,79,3,3.24,clear sky
39,Cockburn Town,TC,2021-12-19 15:23:11,21.4612,-71.1419,78.91,65,7,17.38,clear sky
40,Severo-Kurilsk,RU,2021-12-19 15:23:11,50.6789,156.125,27.1,92,100,13.27,snow
41,Erandio,ES,2021-12-19 15:23:12,43.3079,-2.945,61.32,50,0,5.75,clear sky
42,Airai,TL,2021-12-19 15:23:12,-8.9266,125.4092,62.94,95,73,2.21,broken clouds
43,Saskylakh,RU,2021-12-19 15:23:13,71.9167,114.0833,-3.91,97,100,15.14,overcast clouds
44,Geraldton,AU,2021-12-19 15:23:14,-28.7667,114.6,64.81,77,0,9.22,clear sky
45,Bengkulu,ID,2021-12-19 15:23:14,-3.8004,102.2655,76.64,89,100,4.0,overcast clouds
46,Pevek,RU,2021-12-19 15:23:14,69.7008,170.3133,-10.98,97,100,4.12,light snow
47,Asau,RO,2021-12-19 15:24:15,46.4333,26.4,38.75,86,54,6.42,broken clouds
48,Eureka,US,2021-12-19 15:24:16,40.8021,-124.1637,52.18,91,100,3.0,overcast clouds
49,New Norfolk,AU,2021-12-19 15:24:16,-42.7826,147.0587,51.93,61,90,5.01,overcast clouds
50,Mabaruma,GY,2021-12-19 15:24:17,8.2,-59.7833,82.4,78,75,4.61,broken clouds
51,Saint Simons,US,2021-12-19 15:24:18,31.1352,-81.3901,73.08,96,90,5.75,light rain
52,Kapaa,US,2021-12-19 15:22:02,22.0752,-159.319,75.52,75,40,12.66,light rain
53,Itaunja,IN,2021-12-19 15:24:19,27.0833,80.9167,53.58,41,0,6.62,clear sky
54,Bandar-E Lengeh,IR,2021-12-19 15:24:19,26.5579,54.8807,73.51,60,96,4.61,overcast clouds
55,East London,ZA,2021-12-19 15:22:02,-33.0153,27.9116,72.54,78,0,17.27,clear sky
56,Myre,NO,2021-12-19 15:24:20,69.1036,15.9492,37.35,65,100,26.87,overcast clouds
57,Marienburg,PL,2021-12-19 15:24:21,54.0359,19.0266,40.66,70,51,16.71,broken clouds
58,Lincoln,US,2021-12-19 15:24:21,40.8,-96.667,21.29,82,1,5.01,clear sky
59,Mitchell,US,2021-12-19 15:22:30,43.7094,-98.0298,20.1,75,1,11.01,clear sky
60,Fortuna,US,2021-12-19 15:24:22,40.5982,-124.1573,51.91,69,90,5.99,overcast clouds
61,Ferrol,ES,2021-12-19 15:24:22,43.4832,-8.2369,61.32,60,42,3.4,scattered clouds
62,Mongagua,BR,2021-12-19 15:20:44,-24.0931,-46.6208,79.93,79,93,7.4,overcast clouds
63,Kolosovka,RU,2021-12-19 15:24:23,56.4678,73.611,15.08,94,100,14.23,light snow
64,Ushuaia,AR,2021-12-19 15:21:37,-54.8,-68.3,44.26,70,75,20.71,broken clouds
65,Georgetown,MY,2021-12-19 15:23:04,5.4112,100.3354,78.89,83,20,4.61,moderate rain
66,Bluff,NZ,2021-12-19 15:24:24,-46.6,168.3333,68.81,57,49,25.01,scattered clouds
67,Cherskiy,RU,2021-12-19 15:24:25,68.75,161.3,-15.38,99,100,5.08,light snow
68,Ndende,GA,2021-12-19 15:24:25,-2.4008,11.3581,89.11,59,91,1.07,overcast clouds
69,Hermanus,ZA,2021-12-19 15:24:26,-34.4187,19.2345,77.81,59,66,19.55,broken clouds
70,Hobart,AU,2021-12-19 15:24:26,-42.8794,147.3294,52.27,65,90,3.0,overcast clouds
71,Batagay,RU,2021-12-19 15:24:27,67.6333,134.6333,-35.21,99,100,2.66,overcast clouds
72,Albany,US,2021-12-19 15:20:53,42.6001,-73.9662,29.75,78,100,11.01,overcast clouds
73,Raiwind,PK,2021-12-19 15:24:27,31.2544,74.2178,51.91,15,50,2.84,scattered clouds
74,Port Alfred,ZA,2021-12-19 15:24:28,-33.5906,26.891,73.02,74,24,26.62,few clouds
75,Payson,US,2021-12-19 15:24:28,40.0444,-111.7321,29.03,75,1,6.91,clear sky
76,Souillac,MU,2021-12-19 15:24:29,-20.5167,57.5167,81.36,78,20,5.75,few clouds
77,Villazon,BO,2021-12-19 15:24:29,-22.0866,-65.5942,60.17,48,78,6.93,broken clouds
78,Degtyarsk,RU,2021-12-19 15:24:30,56.704,60.0879,21.63,96,100,4.38,light snow
79,Lavrentiya,RU,2021-12-19 15:24:30,65.5833,-171.0,31.08,98,100,14.12,light snow
80,Mount Isa,AU,2021-12-19 15:24:30,-20.7333,139.5,76.77,65,100,3.44,light rain
81,Atar,MR,2021-12-19 15:24:31,20.5169,-13.0499,73.53,48,100,13.13,overcast clouds
82,Camacha,PT,2021-12-19 15:24:31,33.0833,-16.3333,65.62,77,20,19.57,few clouds
83,Kruisfontein,ZA,2021-12-19 15:24:32,-34.0033,24.7314,76.89,58,8,18.72,clear sky
84,Chabahar,IR,2021-12-19 15:24:32,25.2919,60.643,72.93,64,100,10.47,overcast clouds
85,Kieta,PG,2021-12-19 15:24:33,-6.2167,155.6333,80.06,84,100,3.44,light rain
86,Victoria,HK,2021-12-19 15:23:41,22.2855,114.1577,68.25,56,100,3.0,overcast clouds
87,Saint-Philippe,RE,2021-12-19 15:24:34,-21.3585,55.7679,81.99,81,59,4.88,broken clouds
88,Hilo,US,2021-12-19 15:24:34,19.7297,-155.09,71.28,46,90,4.61,light rain
89,Jalu,LY,2021-12-19 15:24:34,29.0331,21.5482,55.74,42,63,22.77,broken clouds
90,Salalah,OM,2021-12-19 15:24:35,17.0151,54.0924,77.09,65,75,6.91,broken clouds
91,Nouakchott,MR,2021-12-19 15:22:51,18.0858,-15.9785,73.33,44,100,15.1,overcast clouds
92,Terrasini,IT,2021-12-19 15:25:36,38.146,13.0844,54.97,63,0,8.05,clear sky
93,Tetiyiv,UA,2021-12-19 15:25:36,49.3767,29.6647,36.0,97,100,19.06,overcast clouds
94,Faanui,PF,2021-12-19 15:25:37,-16.4833,-151.75,79.59,76,70,8.39,broken clouds
95,Nhulunbuy,AU,2021-12-19 15:25:37,-12.2333,136.7667,84.81,74,40,5.75,scattered clouds
96,Lianyuan,CN,2021-12-19 15:25:37,27.6883,111.6642,49.26,34,58,1.03,broken clouds
97,Roald,NO,2021-12-19 15:25:38,62.5833,6.1333,38.34,93,75,2.3,broken clouds
98,Bukama,CD,2021-12-19 15:25:39,-9.2,25.85,86.56,59,9,1.86,clear sky
99,Jamestown,US,2021-12-19 15:22:32,42.097,-79.2353,29.52,84,90,8.01,light snow
100,Tuktoyaktuk,CA,2021-12-19 15:25:39,69.4541,-133.0374,-23.8,69,20,5.75,few clouds
101,Tessalit,ML,2021-12-19 15:25:40,20.1986,1.0114,81.12,12,1,17.29,clear sky
102,Atuona,PF,2021-12-19 15:21:47,-9.8,-139.0333,77.81,68,7,14.88,clear sky
103,Strezhevoy,RU,2021-12-19 15:25:41,60.7333,77.5889,-25.02,94,59,8.55,broken clouds
104,Isangel,VU,2021-12-19 15:25:41,-19.55,169.2667,78.91,94,75,4.61,broken clouds
105,Arraial Do Cabo,BR,2021-12-19 15:25:42,-22.9661,-42.0278,80.56,61,40,9.22,scattered clouds
106,Togur,RU,2021-12-19 15:25:42,58.3631,82.8265,-18.18,96,40,5.82,scattered clouds
107,Sao Jose Da Coroa Grande,BR,2021-12-19 15:25:43,-8.8978,-35.1478,84.38,66,17,10.67,few clouds
108,Pandan,PH,2021-12-19 15:25:43,14.0453,124.1694,78.82,89,96,9.62,overcast clouds
109,Carnarvon,AU,2021-12-19 15:25:44,-24.8667,113.6333,73.47,73,6,19.57,clear sky
110,Ponta Do Sol,PT,2021-12-19 15:25:44,32.6667,-17.1,70.72,75,58,13.73,broken clouds
111,Marsh Harbour,BS,2021-12-19 15:25:45,26.5412,-77.0636,78.04,72,3,16.13,clear sky
112,Constitucion,CL,2021-12-19 15:25:45,-35.3333,-72.4167,70.12,57,3,8.61,clear sky
113,Qaanaaq,GL,2021-12-19 15:25:46,77.484,-69.3632,15.3,57,63,8.77,broken clouds
114,Matagami,CA,2021-12-19 15:25:46,49.7502,-77.6328,-7.49,77,20,4.61,few clouds
115,Padre Bernardo,BR,2021-12-19 15:25:47,-15.35,-48.5,80.04,72,77,4.61,broken clouds
116,Khor,RU,2021-12-19 15:25:47,47.8861,134.9464,-10.86,99,98,2.82,overcast clouds
117,Tiznit,MA,2021-12-19 15:25:48,29.5833,-9.5,71.44,30,0,12.53,clear sky
118,Eltham,NZ,2021-12-19 15:25:48,-39.4292,174.3,53.44,96,23,3.38,few clouds
119,Ostrovnoy,RU,2021-12-19 15:25:48,68.0531,39.5131,17.89,77,100,13.85,light snow
120,Indianola,US,2021-12-19 15:25:49,41.3581,-93.5574,23.49,84,2,9.13,clear sky
121,Dikson,RU,2021-12-19 15:25:49,73.5069,80.5464,-28.21,98,74,4.27,broken clouds
122,Cayenne,GF,2021-12-19 15:25:50,4.9333,-52.3333,87.84,81,40,4.0,scattered clouds
123,Dong Hoi,VN,2021-12-19 15:25:50,17.4833,106.6,64.54,75,100,13.98,moderate rain
124,Berlevag,NO,2021-12-19 15:25:51,70.8578,29.0864,22.8,76,100,12.21,light snow
125,Khatanga,RU,2021-12-19 15:25:51,71.9667,102.5,-18.11,95,99,10.38,overcast clouds
126,Sorland,NO,2021-12-19 15:22:14,67.667,12.6934,42.66,65,40,46.98,scattered clouds
127,Craig,US,2021-12-19 15:24:10,40.5153,-107.5464,17.55,78,1,0.0,clear sky
128,Nemuro,JP,2021-12-19 15:25:53,43.3236,145.575,29.23,56,6,7.36,clear sky
129,Gimli,CA,2021-12-19 15:25:53,50.6336,-96.9907,14.02,73,100,25.32,snow
130,Longyearbyen,SJ,2021-12-19 15:25:53,78.2186,15.6401,28.24,93,75,0.0,light snow
131,Milkovo,RU,2021-12-19 15:25:54,54.7167,158.6167,-2.7,93,100,2.08,overcast clouds
132,Verkhnyaya Balkariya,RU,2021-12-19 15:25:54,43.1279,43.4573,23.92,85,92,11.86,overcast clouds
133,Monrovia,LR,2021-12-19 15:24:40,6.3005,-10.7969,91.17,67,25,10.27,scattered clouds
134,Mahebourg,MU,2021-12-19 15:25:55,-20.4081,57.7,81.25,78,20,5.75,few clouds
135,Caraballeda,VE,2021-12-19 15:25:56,10.6112,-66.8522,85.37,58,28,10.94,scattered clouds
136,Flin Flon,CA,2021-12-19 15:25:56,54.7682,-101.865,-0.56,78,90,6.91,light snow
137,Viedma,AR,2021-12-19 15:26:58,-40.8135,-62.9967,85.24,22,0,8.55,clear sky
138,Laguna,US,2021-12-19 15:26:58,38.421,-121.4238,43.75,91,90,0.0,mist
139,Rincon,US,2021-12-19 15:23:31,32.296,-81.2354,68.45,100,90,6.91,mist
140,Te Anau,NZ,2021-12-19 15:26:59,-45.4167,167.7167,58.03,79,99,9.15,overcast clouds
141,Yulara,AU,2021-12-19 15:27:00,-25.2406,130.9889,84.04,21,0,10.36,clear sky
142,San Andres,CO,2021-12-19 15:27:00,12.5847,-81.7006,78.82,89,75,10.36,broken clouds
143,Waingapu,ID,2021-12-19 15:27:01,-9.6567,120.2641,82.17,82,88,0.6,overcast clouds
144,Tiksi,RU,2021-12-19 15:27:01,71.6872,128.8694,-18.6,100,100,6.15,overcast clouds
145,Meulaboh,ID,2021-12-19 15:27:02,4.1363,96.1285,76.08,90,100,9.62,overcast clouds
146,Cabo San Lucas,MX,2021-12-19 15:27:02,22.8909,-109.9124,70.52,81,40,4.61,scattered clouds
147,Los Llanos De Aridane,ES,2021-12-19 15:27:03,28.6585,-17.9182,71.35,78,20,5.01,few clouds
148,Acarau,BR,2021-12-19 15:27:03,-2.8856,-40.12,88.99,55,86,17.43,overcast clouds
149,Hofn,IS,2021-12-19 15:27:04,64.2539,-15.2082,35.62,100,75,2.3,mist
150,Acapulco,MX,2021-12-19 15:27:04,16.8634,-99.8901,78.62,73,40,6.91,scattered clouds
151,Banyo,CM,2021-12-19 15:27:05,6.75,11.8167,87.6,20,38,5.01,scattered clouds
152,Vardo,NO,2021-12-19 15:27:05,70.3705,31.1107,23.2,64,100,17.92,light snow
153,Walvis Bay,NA,2021-12-19 15:27:06,-22.9575,14.5053,69.1,62,6,11.14,clear sky
154,Haines Junction,CA,2021-12-19 15:27:07,60.7522,-137.5108,-9.45,77,40,1.14,scattered clouds
155,Esperance,AU,2021-12-19 15:27:07,-33.8667,121.9,57.04,73,0,3.69,clear sky
156,Thompson,CA,2021-12-19 15:26:33,55.7435,-97.8558,-7.44,84,90,6.91,light snow
157,Tarko-Sale,RU,2021-12-19 15:27:08,64.9225,77.785,-35.36,97,15,8.34,few clouds
158,Beringovskiy,RU,2021-12-19 15:27:08,63.05,179.3167,31.19,78,100,29.26,overcast clouds
159,Muslyumovo,RU,2021-12-19 15:27:09,55.3033,53.1947,14.94,98,94,5.53,overcast clouds
160,Serov,RU,2021-12-19 15:27:09,59.6033,60.5787,4.32,95,100,10.2,light snow
161,Bayir,TR,2021-12-19 15:27:10,37.2687,28.2167,46.92,97,99,3.87,overcast clouds
162,Lazaro Cardenas,MX,2021-12-19 15:27:10,17.9583,-102.2,78.08,66,99,2.59,overcast clouds
163,Oyem,GA,2021-12-19 15:27:11,1.5995,11.5793,80.85,64,99,2.68,overcast clouds
164,Ventspils,LV,2021-12-19 15:27:11,57.3894,21.5606,39.13,75,75,18.41,broken clouds
165,Nanga Eboko,CM,2021-12-19 15:27:11,4.6833,12.3667,94.96,21,50,0.58,scattered clouds
166,Lompoc,US,2021-12-19 15:27:12,34.6391,-120.4579,46.53,96,90,8.05,fog
167,Morondava,MG,2021-12-19 15:27:13,-20.2833,44.2833,81.97,72,20,15.19,few clouds
168,Xuzhou,CN,2021-12-19 15:27:13,34.1805,117.1571,42.84,40,0,6.96,clear sky
169,Tailai,CN,2021-12-19 15:27:14,46.3833,123.4,14.36,82,100,6.62,overcast clouds
170,Port Elizabeth,ZA,2021-12-19 15:27:14,-33.918,25.5701,79.11,73,0,21.85,clear sky
171,Hithadhoo,MV,2021-12-19 15:27:15,-0.6,73.0833,83.48,69,99,4.05,overcast clouds
172,Milove,UA,2021-12-19 15:27:15,49.3787,40.1302,30.2,85,100,23.35,overcast clouds
173,Nanortalik,GL,2021-12-19 15:27:16,60.1432,-45.2371,40.08,64,100,26.82,overcast clouds
174,Codrington,AU,2021-12-19 15:27:16,-38.2667,141.9667,51.8,69,96,10.49,overcast clouds
175,Datong,CN,2021-12-19 15:27:17,40.0936,113.2914,26.28,45,3,7.63,clear sky
176,Merauke,ID,2021-12-19 15:25:05,-8.4667,140.3333,78.87,84,27,7.16,scattered clouds
177,Tupik,RU,2021-12-19 15:27:19,54.4253,119.9327,-4.34,99,100,2.04,light snow
178,Santona,ES,2021-12-19 15:27:19,43.4439,-3.4576,61.34,67,0,2.19,clear sky
179,Kavieng,PG,2021-12-19 15:27:20,-2.5744,150.7967,80.74,80,97,3.71,moderate rain
180,Verkhoyansk,RU,2021-12-19 15:27:20,67.5447,133.385,-28.01,99,100,1.7,overcast clouds
181,Chuy,UY,2021-12-19 15:27:21,-33.6971,-53.4616,79.03,48,0,13.58,clear sky
182,Helong,CN,2021-12-19 15:28:21,42.5397,128.9972,18.75,72,4,6.58,clear sky
183,Rae Bareli,IN,2021-12-19 15:28:22,26.2167,81.2333,53.73,35,0,6.98,clear sky
184,Yarada,IN,2021-12-19 15:28:22,17.65,83.2667,70.12,83,0,2.3,mist
185,Zhigansk,RU,2021-12-19 15:28:23,66.7697,123.3711,-45.44,98,100,3.49,overcast clouds
186,Vestmanna,FO,2021-12-19 15:28:23,62.1564,-7.1664,40.12,93,90,6.91,overcast clouds
187,Kalmunai,LK,2021-12-19 15:28:24,7.4167,81.8167,78.08,78,92,10.4,overcast clouds
188,Yenagoa,NG,2021-12-19 15:28:24,4.9247,6.2642,95.32,23,70,3.06,broken clouds
189,Coihaique,CL,2021-12-19 15:28:02,-45.5752,-72.0662,70.41,46,20,6.91,few clouds
190,Castro,BR,2021-12-19 15:28:25,-24.7911,-50.0119,73.02,56,77,6.53,broken clouds
191,Nalut,LY,2021-12-19 15:28:25,30.3333,10.85,56.66,43,0,9.06,clear sky
192,Juiz De Fora,BR,2021-12-19 15:28:26,-21.7642,-43.3503,74.48,72,93,5.21,overcast clouds
193,Ocampo,MX,2021-12-19 15:28:26,21.65,-101.5,55.33,64,47,3.4,scattered clouds
194,Sitka,US,2021-12-19 15:28:27,57.0531,-135.33,30.09,80,75,0.0,broken clouds
195,Saint-Augustin,CA,2021-12-19 15:28:27,51.226,-58.6502,12.9,65,0,15.73,clear sky
196,Praia Da Vitoria,PT,2021-12-19 15:28:28,38.7333,-27.0667,62.76,94,40,5.95,scattered clouds
197,Moindou,NC,2021-12-19 15:28:29,-21.6924,165.677,73.35,82,2,2.68,clear sky
198,Westport,US,2021-12-19 15:28:18,41.1415,-73.3579,39.9,68,1,5.99,clear sky
199,Torrington,US,2021-12-19 15:28:29,41.8007,-73.1212,36.48,82,100,8.01,overcast clouds
200,Kaitangata,NZ,2021-12-19 15:28:30,-46.2817,169.8464,58.37,69,86,6.46,overcast clouds
201,Hit,IQ,2021-12-19 15:28:30,33.6416,42.8251,60.53,36,5,4.03,clear sky
202,Klaksvik,FO,2021-12-19 15:28:31,62.2266,-6.589,41.92,74,98,10.47,overcast clouds
203,Kungurtug,RU,2021-12-19 15:28:31,50.5994,97.5228,2.05,94,69,2.68,broken clouds
204,Mayo,US,2021-12-19 15:28:32,38.8876,-76.5119,45.01,57,90,14.0,overcast clouds
205,Upernavik,GL,2021-12-19 15:28:32,72.7868,-56.1549,28.58,77,100,7.61,overcast clouds
206,Baruun-Urt,MN,2021-12-19 15:28:33,46.6806,113.2792,10.76,85,89,9.69,overcast clouds
207,Padang,ID,2021-12-19 15:28:33,-0.9492,100.3543,80.65,88,99,4.47,overcast clouds
208,Komsomolskiy,UZ,2021-12-19 15:28:34,40.4272,71.7189,38.62,56,100,0.0,haze
209,Sao Joao Da Barra,BR,2021-12-19 15:28:34,-21.6403,-41.0511,75.29,70,82,14.27,broken clouds
210,Bredasdorp,ZA,2021-12-19 15:28:35,-34.5322,20.0403,77.29,64,47,16.11,scattered clouds
211,Alice Springs,AU,2021-12-19 15:28:35,-23.7,133.8833,85.55,20,0,10.36,clear sky
212,Hokitika,NZ,2021-12-19 15:28:36,-42.7167,170.9667,54.54,91,21,4.99,few clouds
213,Nikolskoye,RU,2021-12-19 15:28:36,59.7035,30.7861,26.49,92,100,9.89,overcast clouds
214,Ilulissat,GL,2021-12-19 15:28:37,69.2167,-51.1,37.42,52,40,21.85,scattered clouds
215,Boyaca,TR,2021-12-19 15:28:37,38.6227,38.2402,42.58,90,100,3.29,light rain
216,Port Blair,IN,2021-12-19 15:28:37,11.6667,92.75,80.6,75,94,10.96,overcast clouds
217,Haimen,CN,2021-12-19 15:28:38,23.1935,116.6142,62.49,63,100,22.06,overcast clouds
218,Mangrol,IN,2021-12-19 15:28:38,21.1167,70.1167,72.48,48,3,2.57,clear sky
219,Basco,PH,2021-12-19 15:28:39,20.4487,121.9702,73.26,76,100,28.48,overcast clouds
220,Kailua,US,2021-12-19 15:28:39,21.4022,-157.7394,73.38,74,90,11.5,light rain
221,Ribas Do Rio Pardo,BR,2021-12-19 15:28:40,-20.4431,-53.7592,83.26,69,83,9.75,broken clouds
222,Kodiak,US,2021-12-19 15:28:40,57.79,-152.4072,24.31,80,1,3.44,clear sky
223,Chenove,FR,2021-12-19 15:28:41,47.2932,5.0046,37.0,93,90,6.91,overcast clouds
224,Boguchar,RU,2021-12-19 15:28:41,49.9358,40.545,30.81,88,100,23.98,overcast clouds
225,Aswan,EG,2021-12-19 15:28:42,24.0934,32.907,61.95,26,91,3.36,overcast clouds
226,Volot,RU,2021-12-19 15:28:43,57.9278,30.7025,24.37,89,100,12.41,overcast clouds
227,Bow Island,CA,2021-12-19 15:28:43,49.8668,-111.3684,14.02,85,84,0.0,broken clouds
228,Kirovskiy,RU,2021-12-19 15:28:43,45.0917,133.5136,1.31,95,83,4.54,broken clouds
229,Tolosa,FR,2021-12-19 15:29:44,43.6043,1.4437,57.18,58,0,4.61,clear sky
